xmin,ymin,x,y,xmax,ymax,x1min,y1min,x1,y1,x1max,y1max,x2min,y2min,x2,y2,x2max,y2max,output
0.26,0.07,0.28,0.07,0.29,0.07,0.26,0.06,0.28,0.06,0.30,0.06,0.18,0.13,0.18,0.13,0.18,0.13,0
0.18,0.27,0.18,0.27,0.18,0.27,0.17,0.13,0.18,0.13,0.19,0.13,0.28,0.06,0.28,0.06,0.28,0.06,0
0.20,0.27,0.20,0.27,0.20,0.27,0.19,0.22,0.20,0.22,0.21,0.22,0.22,0.22,0.22,0.22,0.23,0.22,0
0.22,0.27,0.23,0.27,0.23,0.27,0.21,0.22,0.22,0.22,0.24,0.22,0.19,0.22,0.20,0.22,0.20,0.22,0
0.22,0.27,0.23,0.27,0.23,0.27,0.21,0.22,0.22,0.22,0.24,0.22,0.25,0.22,0.25,0.22,0.26,0.22,0
0.25,0.26,0.25,0.26,0.25,0.26,0.24,0.22,0.25,0.22,0.27,0.22,0.21,0.17,0.22,0.17,0.22,0.17,0
0.29,0.26,0.29,0.26,0.29,0.26,0.26,0.22,0.28,0.22,0.30,0.22,0.31,0.22,0.31,0.22,0.32,0.22,0
0.31,0.26,0.31,0.26,0.32,0.26,0.30,0.22,0.31,0.22,0.32,0.22,0.28,0.22,0.29,0.22,0.29,0.22,0
0.31,0.26,0.31,0.26,0.32,0.26,0.30,0.22,0.31,0.22,0.32,0.22,0.29,0.17,0.29,0.17,0.29,0.17,0
0.31,0.26,0.31,0.26,0.32,0.26,0.30,0.22,0.31,0.22,0.32,0.22,0.49,0.06,0.49,0.06,0.50,0.06,0
0.47,0.07,0.49,0.07,0.51,0.07,0.46,0.06,0.49,0.06,0.53,0.06,0.31,0.22,0.31,0.22,0.32,0.22,0
0.58,0.07,0.59,0.07,0.61,0.07,0.53,0.06,0.60,0.06,0.66,0.06,0.90,0.42,0.90,0.42,0.91,0.42,0
0.88,0.43,0.90,0.43,0.92,0.43,0.84,0.42,0.90,0.42,0.96,0.42,0.59,0.06,0.60,0.06,0.60,0.06,0
0.04,0.93,0.04,0.93,0.04,0.93,0.03,0.88,0.04,0.88,0.04,0.88,0.05,0.88,0.05,0.88,0.06,0.88,0
0.06,0.92,0.06,0.92,0.06,0.92,0.06,0.88,0.06,0.88,0.07,0.88,0.04,0.88,0.04,0.88,0.05,0.88,0
0.06,0.92,0.06,0.92,0.06,0.92,0.06,0.88,0.06,0.88,0.07,0.88,0.08,0.88,0.08,0.88,0.09,0.88,0
0.08,0.92,0.08,0.92,0.09,0.92,0.07,0.88,0.08,0.88,0.09,0.88,0.06,0.88,0.06,0.88,0.07,0.88,0
0.10,0.91,0.11,0.91,0.11,0.91,0.10,0.88,0.11,0.88,0.12,0.88,0.13,0.88,0.13,0.88,0.14,0.88,0
0.13,0.92,0.13,0.92,0.14,0.92,0.12,0.88,0.13,0.88,0.14,0.88,0.10,0.88,0.10,0.88,0.11,0.88,0
0.16,0.91,0.16,0.91,0.16,0.91,0.15,0.88,0.16,0.88,0.17,0.88,0.18,0.17,0.18,0.17,0.19,0.17,0
0.19,0.92,0.19,0.92,0.19,0.92,0.18,0.88,0.19,0.88,0.20,0.88,0.16,0.88,0.16,0.88,0.16,0.88,0
0.22,0.93,0.23,0.93,0.23,0.93,0.21,0.88,0.23,0.88,0.25,0.88,0.17,0.88,0.18,0.88,0.18,0.88,0
0.17,0.94,0.18,0.94,0.18,0.94,0.17,0.88,0.18,0.88,0.19,0.88,0.23,0.88,0.23,0.88,0.23,0.88,0
0.17,0.94,0.18,0.94,0.18,0.94,0.17,0.88,0.18,0.88,0.19,0.88,0.20,0.88,0.21,0.88,0.21,0.88,0
0.21,0.92,0.21,0.92,0.21,0.92,0.20,0.88,0.21,0.88,0.22,0.88,0.17,0.18,0.18,0.18,0.18,0.18,0
0.33,0.65,0.34,0.65,0.34,0.65,0.31,0.64,0.34,0.64,0.36,0.64,0.43,0.64,0.44,0.64,0.44,0.64,0
0.43,0.65,0.44,0.65,0.45,0.65,0.42,0.64,0.44,0.64,0.46,0.64,0.33,0.64,0.34,0.64,0.34,0.64,0
0.29,0.65,0.29,0.65,0.30,0.65,0.27,0.64,0.29,0.64,0.32,0.64,0.26,0.61,0.26,0.61,0.27,0.61,0
0.26,0.62,0.26,0.62,0.27,0.62,0.25,0.62,0.26,0.62,0.27,0.62,0.29,0.64,0.29,0.64,0.30,0.64,0
0.47,0.62,0.47,0.62,0.48,0.62,0.46,0.62,0.47,0.62,0.48,0.62,0.31,0.61,0.31,0.61,0.32,0.61,0
0.28,0.62,0.32,0.62,0.35,0.62,0.27,0.62,0.31,0.62,0.36,0.62,0.47,0.61,0.47,0.61,0.48,0.61,0
0.39,0.62,0.42,0.62,0.45,0.62,0.38,0.62,0.42,0.62,0.46,0.62,0.36,0.61,0.37,0.61,0.37,0.61,0
0.36,0.62,0.37,0.62,0.38,0.62,0.36,0.62,0.37,0.62,0.38,0.62,0.41,0.61,0.42,0.61,0.42,0.61,0
0.48,0.62,0.50,0.62,0.52,0.62,0.48,0.62,0.50,0.62,0.53,0.62,0.90,0.61,0.90,0.61,0.91,0.61,0
0.90,0.67,0.90,0.67,0.90,0.67,0.85,0.62,0.90,0.62,0.96,0.62,0.50,0.61,0.50,0.61,0.51,0.61,0
