xmin,ymin,x,y,xmax,ymax,x1min,y1min,x1,y1,x1max,y1max,x2min,y2min,x2,y2,x2max,y2max,output
1019,1040,1027,1040,1035,1040,883,856,955,856,1027,856,912,793,933,793,954,793,0
1019,1040,1027,1040,1035,1040,883,856,955,856,1027,856,948,768,969,768,990,768,0
1019,1040,1027,1040,1035,1040,883,856,955,856,1027,856,1032,657,1040,657,1049,657,0
1019,1040,1027,1040,1035,1040,883,856,955,856,1027,856,912,646,920,646,929,646,0
1019,1040,1027,1040,1035,1040,883,856,955,856,1027,856,946,650,954,650,963,650,0
1019,1040,1027,1040,1035,1040,883,856,955,856,1027,856,997,665,1005,665,1014,665,0
1019,1040,1027,1040,1035,1040,883,856,955,856,1027,856,1678,844,1699,844,1720,844,0
1689,996,1696,996,1704,996,1643,856,1693,856,1743,856,1032,657,1040,657,1049,657,0
1689,996,1696,996,1704,996,1643,856,1693,856,1743,856,2577,207,2599,207,2621,207,0
2504,235,2589,235,2675,235,2432,219,2603,219,2774,219,1672,793,1693,793,1714,793,0
2504,235,2589,235,2675,235,2432,219,2603,219,2774,219,1664,651,1672,651,1681,651,0
2504,235,2589,235,2675,235,2432,219,2603,219,2774,219,3087,207,3114,207,3142,207,0
3036,233,3109,233,3183,233,2804,219,3114,219,3425,219,2577,207,2599,207,2621,207,0
2546,169,2599,169,2652,169,883,157,2603,157,4324,157,4477,1754,4505,1754,4534,1754,0
4457,1787,4505,1787,4554,1787,4222,1771,4505,1771,4789,1771,2575,145,2603,145,2632,145,0
1699,2859,1745,2859,1791,2859,1687,2843,1745,2843,1803,2843,2087,2937,2110,2937,2133,2937,0
2079,2970,2109,2970,2140,2970,2005,2954,2110,2954,2215,2954,1722,2826,1745,2826,1768,2826,0
1874,2970,1904,2970,1935,2970,1799,2954,1904,2954,2009,2954,1357,2937,1380,2937,1403,2937,0
1350,2970,1380,2970,1411,2970,1275,2954,1380,2954,1485,2954,1881,2937,1904,2937,1927,2937,0
1555,2970,1586,2970,1617,2970,1481,2954,1586,2954,1691,2954,820,2826,849,2826,878,2826,0
684,2862,848,2862,1013,2862,419,2843,849,2843,1279,2843,1563,2937,1586,2937,1609,2937,0
1327,2860,1491,2860,1656,2860,1275,2843,1483,2843,1691,2843,1984,2826,2007,2826,2030,2826,0
1850,2860,2014,2860,2179,2860,1799,2843,2007,2843,2215,2843,1460,2826,1483,2826,1506,2826,0
2780,2858,2853,2858,2926,2858,2211,2843,2815,2843,3420,2843,3709,2827,3738,2827,3767,2827,0
3552,2859,3738,2859,3925,2859,3416,2843,3738,2843,4060,2843,2823,2828,2853,2828,2883,2828,0
4067,3221,4142,3221,4218,3221,4056,2843,4141,2843,4226,2843,4477,2826,4505,2826,4534,2826,0
4458,2859,4506,2859,4554,2859,4222,2843,4505,2843,4789,2843,4118,2826,4141,2826,4164,2826,0
3429,2953,3530,2953,3632,2953,3416,2937,3530,2937,3645,2937,3657,2920,3679,2920,3701,2920,0
3657,3707,3666,3707,3675,3707,3641,2937,3678,2937,3716,2937,3507,2920,3530,2920,3554,2920,0
3686,3752,3697,3752,3709,3752,3641,2937,3678,2937,3716,2937,3657,2920,3679,2920,3701,2920,0
3670,3015,3679,3015,3688,3015,3641,2937,3678,2937,3716,2937,3657,2920,3679,2920,3701,2920,0
3789,2953,3886,2953,3983,2953,3712,2937,3886,2937,4060,2937,1671,207,1693,207,1715,207,0
1641,233,1691,233,1742,233,1635,219,1693,219,1751,219,3865,2920,3886,2920,3907,2920,0
933,233,989,233,1045,233,883,219,993,219,1104,219,971,207,993,207,1015,207,0
931,256,989,256,1047,256,883,219,993,219,1104,219,971,207,993,207,1015,207,0
1171,233,1250,233,1330,233,1100,219,1256,219,1413,219,1502,207,1524,207,1546,207,0
1445,233,1518,233,1591,233,1409,219,1524,219,1639,219,1235,207,1256,207,1278,207,0
1103,1033,1111,1033,1119,1033,1052,856,1110,856,1169,856,1114,658,1122,658,1131,658,0
1103,1033,1111,1033,1119,1033,1052,856,1110,856,1169,856,1091,844,1113,844,1135,844,0
1103,1033,1111,1033,1119,1033,1052,856,1110,856,1169,856,1089,793,1110,793,1131,793,0
1103,1033,1111,1033,1119,1033,1052,856,1110,856,1169,856,1114,747,1122,747,1131,747,0
1103,1033,1111,1033,1119,1033,1052,856,1110,856,1169,856,1222,844,1244,844,1266,844,0
1243,1026,1253,1026,1263,1026,1165,856,1237,856,1309,856,1114,658,1122,658,1131,658,0
1243,1026,1253,1026,1263,1026,1165,856,1237,856,1309,856,1363,844,1385,844,1407,844,0
1368,996,1375,996,1383,996,1305,856,1377,856,1450,856,1199,657,1207,657,1216,657,0
1368,996,1375,996,1383,996,1305,856,1377,856,1450,856,1533,844,1555,844,1577,844,0
1567,1003,1574,1003,1582,1003,1446,856,1546,856,1647,856,1354,793,1375,793,1396,793,0
1567,1003,1574,1003,1582,1003,1446,856,1546,856,1647,856,1351,657,1359,657,1368,657,0
1567,1003,1574,1003,1582,1003,1446,856,1546,856,1647,856,1413,671,1421,671,1430,671,0
1567,1003,1574,1003,1582,1003,1446,856,1546,856,1647,856,1533,844,1555,844,1577,844,0
1541,1023,1551,1023,1561,1023,1446,856,1546,856,1647,856,1533,844,1555,844,1577,844,0
1541,1023,1551,1023,1561,1023,1446,856,1546,856,1647,856,1558,651,1566,651,1575,651,0
